NM_DIST,zona
Bela Vista,Central
Bom Retiro,Central
Cambuci,Central
Consolação,Central
Liberdade,Central
República,Central
Santa Cecília,Central
Sé,Central
Aricanduva,Leste
Carrão,Leste
Vila Formosa,Leste
Cidade Tiradentes,Leste
Ermelino Matarazzo,Leste
Ponte Rasa,Leste
Guaianases,Leste
Lajeado,Leste
Itaim Paulista,Leste
Vila Curuçá,Leste
Cidade Lider,Leste
Itaquera,Leste
José Bonifácio,Leste
Parque Do Carmo,Leste
Água Rasa,Leste
Belém,Leste
Brás,Leste
Mooca,Leste
Pari,Leste
Tatuapé,Leste
Penha,Leste
Artur Alvim,Leste
Cangaiba,Leste
Vila Matilde,Leste
Iguatemi,Leste
São Mateus,Leste
São Rafael,Leste
Vila Jacuí,Leste
São Lucas,Leste
Sapopemba,Leste
Vila Prudente,Leste
Cachoeirinha,Norte
Casa Verde,Norte
Limão,Norte
Brasilândia,Norte
Freguesia Do Ó,Norte
Jaçanã,Norte
Tremembé,Norte
Anhanguera,Norte
Perus,Norte
Jaraguá,Norte
Pirituba,Norte
São Domingos,Norte
Mandaqui,Norte
Santana,Norte
Tucuruvi,Norte
Vila Guilherme,Norte
Vila Maria,Norte
Vila Medeiros,Norte
Butantã,Oeste
Morumbi,Oeste
Raposo Tavares,Oeste
Rio Pequeno,Oeste
Vila Sônia,Oeste
Barra Funda,Oeste
Jaguara,Oeste
Jaguaré,Oeste
Lapa,Oeste
Perdizes,Oeste
Vila Leopoldina,Oeste
Alto De Pinheiros,Oeste
Itaim Bibi,Oeste
Jardim Paulista,Oeste
Pinheiros,Oeste
Campo Limpo,Sul
Capão Redondo,Sul
Vila Andrade,Sul
Cidade Dutra,Sul
Grajaú,Sul
Socorro,Sul
Cidade Ademar,Sul
Pedreira,Sul
Cursino,Sul
Ipiranga,Sul
Sacomã,Sul
Jabaquara,Sul
Jardim Ângela,Sul
Jardim São Luís,Sul
Marsilac,Sul
Parelheiros,Sul
Campo Belo,Sul
Campo Grande,Sul
Santo Amaro,Sul
Moema,Sul
Saúde,Sul
Vila Mariana,Sul
São Miguel,Leste
Jardim Helena,Leste
